('76ers: Beyond the Court', '76ers-beyond-the-court')
('Ed Bradley: Curious, Relentless, Timeless', 'ed-bradley-curious-relentless-timeless')
('Beyond the Paint: Philadelphia’s Mural Arts', 'beyond-the-paint-philadelphia-s-mural-arts')
('Neighborhood Time Exchange 2015', 'neighborhood-time-exchange-2015')
('Cecil B. Moore Philadelphia Freedom Fighters', 'cecil-b-moore-philadelphia-freedom-fighters')
('Love Across the USA: Marian Anderson', 'love-across-the-usa-marian-anderson')
('Colorful Legacy', 'colorful-legacy')
('Remembering a Forgotten Hero', 'remembering-a-forgotten-hero')
('History, Commerce, Community: A Short Retrospective on Germantown', 'history-commerce-community-a-short-retrospective-on-germantown')
('How We Fish', 'how-we-fish')
('The Norris Homes Historical Marker', 'the-norris-homes-historical-marker')
('The Viaduct', 'the-viaduct')
('Wide Open', 'wide-open')
('Soul of the Black Bottom', 'soul-of-the-black-bottom')
('Murals at Swanson Walk', 'murals-at-swanson-walk')
('Pride and Progress', 'pride-and-progress')
('Monument Lab', 'monument-lab')
('Input/Output: Photography as Exchange', 'input-output-photography-as-exchange')
('Sembrando Sueños, Cosechando Esperanzas', 'sembrando-sue-os-cosechando-esperanzas')
('Spring Arts District: Charles Burwell', 'spring-arts-district-charles-burwell')
('Art across the incredible canvases of Philadelphia', 'art-across-the-incredible-canvases-of-philadelphia')
('South Philly Musicians Remix', 'south-philly-musicians-remix')
('Turnover', 'turnover')
('Industrious Light: Ortleib’s Brewery', 'industrious-light-ortleib-s-brewery')
('New Art at the Navy Yard', 'new-art-at-the-navy-yard')
('The Legacy of Bishop Richard Allen and the A.M.E. Church', 'the-legacy-of-bishop-richard-allen-and-the-a-m-e-church')
('Peace is a Haiku Song', 'peace-is-a-haiku-song')
('14 Movements: A Symphony in Color and Words', '14-movements-a-symphony-in-color-and-words')
('Southwest Roots', 'southwest-roots')
('It Has To Be From Here…Forgotten but Unshaken', 'it-has-to-be-from-here-forgotten-but-unshaken')
('Autumn (a.k.a. Your House in the Forest)', 'autumn-a-k-a-your-house-in-the-forest')
('Rippling Moon: An Urban Fairytale', 'rippling-moon-an-urban-fairytale')
('American Tableau', 'american-tableau')
('Art@Bartram’s', 'art-bartram-s')
('Sing Because it is Heard', 'sing-because-it-is-heard')
('Philly Rising', 'philly-rising')
('Industrious Light: Leviathan Main Belting', 'industrious-light-leviathan-main-belting')
('Our Flag Unfurled (Mural Restoration)', 'our-flag-unfurled-mural-restoration')
('The Atlas of Tomorrow: A Device for Philosophical Reflections', 'the-atlas-of-tomorrow-a-device-for-philosophical-reflections')
('Holding Grandmother’s Quilt', 'holding-grandmother-s-quilt')
('Garden of Delight', 'garden-of-delight')
